round;player;action_player;opponent;action_opponent;payoff;time_php;time_js;treatment;session;context;prev;prev_player;prev_opp
30;s11n9usuario2;D;s11n9usuario1;C;4;282.169.985.771;2802;rand;s11n9;CDD;CD;C;D
31;s11n9usuario2;D;s11n9usuario3;D;1;147.799.992.561;1453;rand;s11n9;DCD;DC;D;C
32;s11n9usuario2;D;s11n9usuario9;D;1;947.999.954.224;915;rand;s11n9;DDD;DD;D;D
33;s11n9usuario2;D;s11n9usuario8;D;1;7.467.999.458.310.000;720;rand;s11n9;DDD;DD;D;D
34;s11n9usuario2;D;s11n9usuario5;D;1;7.470.998.764.039.990;719;rand;s11n9;DDD;DD;D;D
35;s11n9usuario2;D;s11n9usuario3;D;1;760.600.090.027;734;rand;s11n9;DDD;DD;D;D
36;s11n9usuario2;D;s11n9usuario3;C;4;104.449.987.411;1020;rand;s11n9;DDD;DD;D;D
37;s11n9usuario2;D;s11n9usuario1;D;1;102.279.996.872;1000;rand;s11n9;DCD;DC;D;C
38;s11n9usuario2;D;s11n9usuario4;D;1;889.199.972.153;859;rand;s11n9;DDD;DD;D;D
39;s11n9usuario2;D;s11n9usuario3;C;4;695.499.897.003;669;rand;s11n9;DDD;DD;D;D
40;s11n9usuario2;D;s11n9usuario8;D;1;121.970.009.804;1192;rand;s11n9;DCD;DC;D;C
41;s11n9usuario2;D;s11n9usuario3;D;1;102.399.992.943;1001;rand;s11n9;DDD;DD;D;D
42;s11n9usuario2;C;s11n9usuario7;C;3;113.009.977.341;1104;rand;s11n9;DDC;DD;D;D
43;s11n9usuario2;C;s11n9usuario4;D;0;193.569.993.973;1908;rand;s11n9;CCC;CC;C;C
44;s11n9usuario2;C;s11n9usuario5;D;0;846.200.227.737;818;rand;s11n9;CDC;CD;C;D
45;s11n9usuario2;C;s11n9usuario8;D;0;122.799.992.561;1202;rand;s11n9;CDC;CD;C;D
