round;player;action_player;opponent;action_opponent;payoff;time_php;time_js;treatment;session;player_id;context;prev;prev_player;prev_opp
16;s10n5usuario3;C;s10n5usuario4;C;3;156.309.986.115;1541;fix;s10n5;86;CCC;CC;C;C
17;s10n5usuario3;C;s10n5usuario4;C;3;132.649.993.896;1301;fix;s10n5;86;CCC;CC;C;C
18;s10n5usuario3;C;s10n5usuario4;C;3;126.320.004.463;1222;fix;s10n5;86;CCC;CC;C;C
19;s10n5usuario3;C;s10n5usuario4;C;3;112.709.999.084;1100;fix;s10n5;86;CCC;CC;C;C
20;s10n5usuario3;C;s10n5usuario4;C;3;166.260.004.044;1636;fix;s10n5;86;CCC;CC;C;C
21;s10n5usuario3;C;s10n5usuario4;C;3;969.999.790.192;946;fix;s10n5;86;CCC;CC;C;C
22;s10n5usuario3;C;s10n5usuario4;C;3;132.789.993.286;1303;fix;s10n5;86;CCC;CC;C;C
23;s10n5usuario3;C;s10n5usuario4;C;3;133.879.995.346;1311;fix;s10n5;86;CCC;CC;C;C
24;s10n5usuario3;C;s10n5usuario4;C;3;273.860.001.564;2710;fix;s10n5;86;CCC;CC;C;C
25;s10n5usuario3;C;s10n5usuario4;C;3;16.263.999.939;1600;fix;s10n5;86;CCC;CC;C;C
26;s10n5usuario3;C;s10n5usuario4;C;3;819.499.969.482;792;fix;s10n5;86;CCC;CC;C;C
27;s10n5usuario3;C;s10n5usuario4;C;3;6.624.000.072.480.000;634;fix;s10n5;86;CCC;CC;C;C
28;s10n5usuario3;C;s10n5usuario4;C;3;79.340.004.921;769;fix;s10n5;86;CCC;CC;C;C
29;s10n5usuario3;C;s10n5usuario4;C;3;666.299.819.946;643;fix;s10n5;86;CCC;CC;C;C
30;s10n5usuario3;C;s10n5usuario4;C;3;100.689.983.368;982;fix;s10n5;86;CCC;CC;C;C
31;s10n5usuario3;C;s10n5usuario4;C;3;949.499.845.505;927;fix;s10n5;86;CCC;CC;C;C
32;s10n5usuario3;C;s10n5usuario4;C;3;119.340.014.458;1170;fix;s10n5;86;CCC;CC;C;C
33;s10n5usuario3;C;s10n5usuario4;C;3;199.629.998.207;1979;fix;s10n5;86;CCC;CC;C;C
34;s10n5usuario3;C;s10n5usuario4;C;3;137.420.010.567;1352;fix;s10n5;86;CCC;CC;C;C
35;s10n5usuario3;C;s10n5usuario4;C;3;108.540.010.452;1057;fix;s10n5;86;CCC;CC;C;C
36;s10n5usuario3;C;s10n5usuario4;C;3;116.560.006.142;1119;fix;s10n5;86;CCC;CC;C;C
